,Nomenclature,ReporterISO3,ProductCode,ReporterName,PartnerISO3,PartnerName,Year,TradeFlowName,TradeFlowCode,TradeValue in 1000 USD
1,S4,ABW, Total,Aruba,COL,Colombia,2018,Export,6,14632.45
3,S4,ABW, Total,Aruba,CUW,Cura�ao,2018,Export,6,527.122
7,S4,ABW, Total,Aruba,NLD,Netherlands,2018,Export,6,2812.15
10,S4,ABW, Total,Aruba,UNS,Unspecified,2018,Export,6,36429.828
12,S4,ABW, Total,Aruba,USA,United States,2018,Export,6,12519.25
14,S4,ABW, Total,Aruba,VEN,Venezuela,2018,Export,6,2841.938
16,S4,ABW, Total,Aruba,WLD, World,2018,Export,6,69762.73700000001
18,S4,AFG, Total,Afghanistan,ARE,United Arab Emirates,2018,Export,6,14265.354
19,S4,AFG, Total,Afghanistan,AUS,Australia,2018,Export,6,764.752
20,S4,AFG, Total,Afghanistan,AUT,Austria,2018,Export,6,104.413
21,S4,AFG, Total,Afghanistan,AZE,Azerbaijan,2018,Export,6,13.72
22,S4,AFG, Total,Afghanistan,BEL,Belgium,2018,Export,6,25.717
23,S4,AFG, Total,Afghanistan,BHR,Bahrain,2018,Export,6,25.862
24,S4,AFG, Total,Afghanistan,BLR,Belarus,2018,Export,6,34.055
25,S4,AFG, Total,Afghanistan,CAN,Canada,2018,Export,6,1321.6129999999998
26,S4,AFG, Total,Afghanistan,CHE,Switzerland,2018,Export,6,4.412
27,S4,AFG, Total,Afghanistan,CHN,China,2018,Export,6,28407.584
28,S4,AFG, Total,Afghanistan,COL,Colombia,2018,Export,6,0.0
29,S4,AFG, Total,Afghanistan,CZE,Czech Republic,2018,Export,6,7.327000000000001
30,S4,AFG, Total,Afghanistan,DEU,Germany,2018,Export,6,5340.071999999999
31,S4,AFG, Total,Afghanistan,DNK,Denmark,2018,Export,6,5.581
32,S4,AFG, Total,Afghanistan,EGY,"Egypt, Arab Rep.",2018,Export,6,1.065
33,S4,AFG, Total,Afghanistan,ESP,Spain,2018,Export,6,51.17
34,S4,AFG, Total,Afghanistan,FIN,Finland,2018,Export,6,1228.017
35,S4,AFG, Total,Afghanistan,FRA,France,2018,Export,6,534.9209999999999
36,S4,AFG, Total,Afghanistan,GBR,United Kingdom,2018,Export,6,1540.3770000000002
37,S4,AFG, Total,Afghanistan,HKG,"Hong Kong, China",2018,Export,6,941.7239999999999
38,S4,AFG, Total,Afghanistan,HUN,Hungary,2018,Export,6,10.144
39,S4,AFG, Total,Afghanistan,IDN,Indonesia,2018,Export,6,54.028999999999996
40,S4,AFG, Total,Afghanistan,IND,India,2018,Export,6,359437.85799999995
41,S4,AFG, Total,Afghanistan,IRN,"Iran, Islamic Rep.",2018,Export,6,19508.634
42,S4,AFG, Total,Afghanistan,IRQ,Iraq,2018,Export,6,13190.08
43,S4,AFG, Total,Afghanistan,ITA,Italy,2018,Export,6,279.918
44,S4,AFG, Total,Afghanistan,JOR,Jordan,2018,Export,6,2796.4809999999998
45,S4,AFG, Total,Afghanistan,JPN,Japan,2018,Export,6,162.889
46,S4,AFG, Total,Afghanistan,KAZ,Kazakhstan,2018,Export,6,4442.887
47,S4,AFG, Total,Afghanistan,KGZ,Kyrgyz Republic,2018,Export,6,15.110999999999999
48,S4,AFG, Total,Afghanistan,KWT,Kuwait,2018,Export,6,87.853
49,S4,AFG, Total,Afghanistan,LBN,Lebanon,2018,Export,6,1396.109
50,S4,AFG, Total,Afghanistan,MMR,Myanmar,2018,Export,6,374.222
51,S4,AFG, Total,Afghanistan,MYS,Malaysia,2018,Export,6,511.76199999999994
52,S4,AFG, Total,Afghanistan,NLD,Netherlands,2018,Export,6,255.375
53,S4,AFG, Total,Afghanistan,NOR,Norway,2018,Export,6,0.335
54,S4,AFG, Total,Afghanistan,NZL,New Zealand,2018,Export,6,141.134
55,S4,AFG, Total,Afghanistan,OMN,Oman,2018,Export,6,1.256
56,S4,AFG, Total,Afghanistan,PAK,Pakistan,2018,Export,6,378244.208
57,S4,AFG, Total,Afghanistan,POL,Poland,2018,Export,6,414.889
58,S4,AFG, Total,Afghanistan,PRT,Portugal,2018,Export,6,13.305
59,S4,AFG, Total,Afghanistan,QAT,Qatar,2018,Export,6,10.765
60,S4,AFG, Total,Afghanistan,ROM,Romania,2018,Export,6,298.842
61,S4,AFG, Total,Afghanistan,RUS,Russian Federation,2018,Export,6,1665.685
62,S4,AFG, Total,Afghanistan,SAU,Saudi Arabia,2018,Export,6,6604.191999999999
63,S4,AFG, Total,Afghanistan,SGP,Singapore,2018,Export,6,60.31
64,S4,AFG, Total,Afghanistan,SVK,Slovak Republic,2018,Export,6,0.0
65,S4,AFG, Total,Afghanistan,SWE,Sweden,2018,Export,6,106.23299999999999
66,S4,AFG, Total,Afghanistan,SWZ,Eswatini,2018,Export,6,0.105
67,S4,AFG, Total,Afghanistan,THA,Thailand,2018,Export,6,32.621
68,S4,AFG, Total,Afghanistan,TJK,Tajikistan,2018,Export,6,3449.0170000000003
69,S4,AFG, Total,Afghanistan,TKM,Turkmenistan,2018,Export,6,893.43
70,S4,AFG, Total,Afghanistan,TUN,Tunisia,2018,Export,6,4.027
71,S4,AFG, Total,Afghanistan,TUR,Turkey,2018,Export,6,21007.467
72,S4,AFG, Total,Afghanistan,UGA,Uganda,2018,Export,6,17.387999999999998
73,S4,AFG, Total,Afghanistan,UKR,Ukraine,2018,Export,6,177.83700000000002
74,S4,AFG, Total,Afghanistan,UNS,Unspecified,2018,Export,6,60.365
75,S4,AFG, Total,Afghanistan,USA,United States,2018,Export,6,1752.132
76,S4,AFG, Total,Afghanistan,UZB,Uzbekistan,2018,Export,6,2218.409
77,S4,AFG, Total,Afghanistan,VNM,Vietnam,2018,Export,6,899.942
78,S4,AFG, Total,Afghanistan,WLD, World,2018,Export,6,875241.3990000001
79,S4,AFG, Total,Afghanistan,YEM,Yemen,2018,Export,6,26.415
80,S4,AFG, Total,Afghanistan,ZAF,South Africa,2018,Export,6,0.0
81,S4,AGO, Total,Angola,AFG,Afghanistan,2018,Export,6,19.352999999999998
82,S4,AGO, Total,Angola,ALB,Albania,2018,Export,6,2.38
83,S4,AGO, Total,Angola,AND,Andorra,2018,Export,6,0.326
84,S4,AGO, Total,Angola,ARE,United Arab Emirates,2018,Export,6,884725.078
85,S4,AGO, Total,Angola,ARG,Argentina,2018,Export,6,61.361999999999995
86,S4,AGO, Total,Angola,ARM,Armenia,2018,Export,6,60.105
87,S4,AGO, Total,Angola,ASM,American Samoa,2018,Export,6,12.007
88,S4,AGO, Total,Angola,ATG,Antigua and Barbuda,2018,Export,6,422.006
89,S4,AGO, Total,Angola,AUS,Australia,2018,Export,6,40220.092000000004
90,S4,AGO, Total,Angola,AUT,Austria,2018,Export,6,433.699
91,S4,AGO, Total,Angola,AZE,Azerbaijan,2018,Export,6,600.371
92,S4,AGO, Total,Angola,BEL,Belgium,2018,Export,6,67763.201
93,S4,AGO, Total,Angola,BEN,Benin,2018,Export,6,804.4780000000001
94,S4,AGO, Total,Angola,BFA,Burkina Faso,2018,Export,6,27.223000000000003
95,S4,AGO, Total,Angola,BGD,Bangladesh,2018,Export,6,55.22
96,S4,AGO, Total,Angola,BGR,Bulgaria,2018,Export,6,8.435
97,S4,AGO, Total,Angola,BHR,Bahrain,2018,Export,6,1.9580000000000002
98,S4,AGO, Total,Angola,BHS,"Bahamas, The",2018,Export,6,7322.893
99,S4,AGO, Total,Angola,BLR,Belarus,2018,Export,6,54.31
100,S4,AGO, Total,Angola,BLZ,Belize,2018,Export,6,452.07800000000003
101,S4,AGO, Total,Angola,BOL,Bolivia,2018,Export,6,308.752
102,S4,AGO, Total,Angola,BRA,Brazil,2018,Export,6,141486.749
103,S4,AGO, Total,Angola,BWA,Botswana,2018,Export,6,16.917
104,S4,AGO, Total,Angola,CAF,Central African Republic,2018,Export,6,1.439
105,S4,AGO, Total,Angola,CAN,Canada,2018,Export,6,647164.297
106,S4,AGO, Total,Angola,CHE,Switzerland,2018,Export,6,68768.996
107,S4,AGO, Total,Angola,CHL,Chile,2018,Export,6,1186.577
108,S4,AGO, Total,Angola,CHN,China,2018,Export,6,24517058.341999996
109,S4,AGO, Total,Angola,CIV,Cote d'Ivoire,2018,Export,6,17252.457
110,S4,AGO, Total,Angola,CMR,Cameroon,2018,Export,6,26838.368
111,S4,AGO, Total,Angola,COG,"Congo, Rep.",2018,Export,6,299119.102
112,S4,AGO, Total,Angola,COL,Colombia,2018,Export,6,112.588
113,S4,AGO, Total,Angola,CPV,Cape Verde,2018,Export,6,146.94899999999998
114,S4,AGO, Total,Angola,CUB,Cuba,2018,Export,6,995.086
115,S4,AGO, Total,Angola,CUW,Cura�ao,2018,Export,6,51.246
116,S4,AGO, Total,Angola,CYP,Cyprus,2018,Export,6,142.435
117,S4,AGO, Total,Angola,CZE,Czech Republic,2018,Export,6,268.033
118,S4,AGO, Total,Angola,DEU,Germany,2018,Export,6,3296.312
119,S4,AGO, Total,Angola,DNK,Denmark,2018,Export,6,11055.998
120,S4,AGO, Total,Angola,DZA,Algeria,2018,Export,6,245.226
