,Unnamed: 0,Nomenclature,ReporterISO3,ProductCode,ReporterName,PartnerISO3,PartnerName,Year,TradeFlowName,TradeFlowCode,TradeValue in 1000 USD,Norm_Exports
0,0,S4,ABW, Total,Aruba,CHN,China,2019,Export,6,0.416,4.974466993634237e-06
1,2,S4,ABW, Total,Aruba,COL,Colombia,2019,Export,6,644.325,0.007704743859791779
2,4,S4,ABW, Total,Aruba,CUW,Cura�ao,2019,Export,6,1538.935,0.018402359045308903
3,5,S4,ABW, Total,Aruba,ESP,Spain,2019,Export,6,0.916,1.0953393668675386e-05
4,6,S4,ABW, Total,Aruba,GBR,United Kingdom,2019,Export,6,0.411,4.914677726883825e-06
5,8,S4,ABW, Total,Aruba,NLD,Netherlands,2019,Export,6,2526.742,0.030214410289493652
6,9,S4,ABW, Total,Aruba,PAN,Panama,2019,Export,6,9.16,0.00010953393668675386
8,13,S4,ABW, Total,Aruba,USA,United States,2019,Export,6,3902.317,0.04666333441153311
9,15,S4,ABW, Total,Aruba,VEN,Venezuela,2019,Export,6,3961.947,0.04737638120679852
10,17,S4,ABW, Total,Aruba,WLD, World,2019,Export,6,83627.05,1.0
11,479,S4,ARE, Total,United Arab Emirates,ABW,Aruba,2019,Export,6,2237.482,8.448991809671539e-06
12,481,S4,ARE, Total,United Arab Emirates,AFG,Afghanistan,2019,Export,6,324216.911,0.0012242806983904257
13,483,S4,ARE, Total,United Arab Emirates,AGO,Angola,2019,Export,6,57268.861,0.0002162538682046237
14,485,S4,ARE, Total,United Arab Emirates,AIA,Anguila,2019,Export,6,55.424,2.092874588753051e-07
15,487,S4,ARE, Total,United Arab Emirates,ALB,Albania,2019,Export,6,5233.918,1.9763882039941523e-05
16,489,S4,ARE, Total,United Arab Emirates,AND,Andorra,2019,Export,6,3.353,1.266131729230835e-08
17,491,S4,ARE, Total,United Arab Emirates,ARG,Argentina,2019,Export,6,34291.146,0.00012948734859017904
18,493,S4,ARE, Total,United Arab Emirates,ARM,Armenia,2019,Export,6,57593.053,0.0002174780548361859
19,494,S4,ARE, Total,United Arab Emirates,ASM,American Samoa,2019,Export,6,2.9410000000000003,1.110555745800145e-08
20,496,S4,ARE, Total,United Arab Emirates,ATG,Antigua and Barbuda,2019,Export,6,39.594,1.4951154096977537e-07
21,498,S4,ARE, Total,United Arab Emirates,AUS,Australia,2019,Export,6,386619.945,0.0014599217999343283
22,500,S4,ARE, Total,United Arab Emirates,AUT,Austria,2019,Export,6,28755.158,0.00010858281515909895
23,502,S4,ARE, Total,United Arab Emirates,AZE,Azerbaijan,2019,Export,6,68303.007,0.0002579200845946192
24,504,S4,ARE, Total,United Arab Emirates,BDI,Burundi,2019,Export,6,3626.2790000000014,1.3693250524734461e-05
25,506,S4,ARE, Total,United Arab Emirates,BEL,Belgium,2019,Export,6,196233.845,0.0007410017819966169
26,508,S4,ARE, Total,United Arab Emirates,BEN,Benin,2019,Export,6,23831.383,8.999006909559297e-05
27,510,S4,ARE, Total,United Arab Emirates,BFA,Burkina Faso,2019,Export,6,36451.269,0.00013764422383426284
28,512,S4,ARE, Total,United Arab Emirates,BGD,Bangladesh,2019,Export,6,881432.067,0.0033283898216230814
29,514,S4,ARE, Total,United Arab Emirates,BGR,Bulgaria,2019,Export,6,19578.115,7.392923531175111e-05
30,516,S4,ARE, Total,United Arab Emirates,BHR,Bahrain,2019,Export,6,1363487.949,0.0051486888000380985
31,518,S4,ARE, Total,United Arab Emirates,BHS,"Bahamas, The",2019,Export,6,357.496,1.349946402246068e-06
32,520,S4,ARE, Total,United Arab Emirates,BIH,Bosnia and Herzegovina,2019,Export,6,1180.026,4.455915180188921e-06
33,522,S4,ARE, Total,United Arab Emirates,BLR,Belarus,2019,Export,6,6677.391,2.5214603679034935e-05
34,524,S4,ARE, Total,United Arab Emirates,BLZ,Belize,2019,Export,6,8389.454,3.167955234214895e-05
35,526,S4,ARE, Total,United Arab Emirates,BMU,Bermuda,2019,Export,6,340.1040000000001,1.284272190988142e-06
36,528,S4,ARE, Total,United Arab Emirates,BOL,Bolivia,2019,Export,6,648.007,2.4469496673536702e-06
37,530,S4,ARE, Total,United Arab Emirates,BRA,Brazil,2019,Export,6,49725.069,0.00018776763375810495
38,532,S4,ARE, Total,United Arab Emirates,BRB,Barbados,2019,Export,6,2393.869,9.039527278622397e-06
39,534,S4,ARE, Total,United Arab Emirates,BRN,Brunei,2019,Export,6,2329.937,8.798112623945434e-06
40,536,S4,ARE, Total,United Arab Emirates,BTN,Bhutan,2019,Export,6,157.85399999999996,5.960750312734988e-07
41,538,S4,ARE, Total,United Arab Emirates,BWA,Botswana,2019,Export,6,3385.098,1.2782523066972386e-05
42,540,S4,ARE, Total,United Arab Emirates,CAF,Central African Republic,2019,Export,6,3582.348,1.3527361968227328e-05
43,542,S4,ARE, Total,United Arab Emirates,CAN,Canada,2019,Export,6,129636.438,0.00048952224102674
44,544,S4,ARE, Total,United Arab Emirates,CCK,Cocos (Keeling) Islands,2019,Export,6,886.263,3.346631985515382e-06
45,546,S4,ARE, Total,United Arab Emirates,CHE,Switzerland,2019,Export,6,5694762.142000001,0.02150408302537654
46,548,S4,ARE, Total,United Arab Emirates,CHL,Chile,2019,Export,6,29507.803,0.00011142489006320555
47,550,S4,ARE, Total,United Arab Emirates,CHN,China,2019,Export,6,2252800.003,0.00850683436746084
48,552,S4,ARE, Total,United Arab Emirates,CIV,Cote d'Ivoire,2019,Export,6,39364.663,0.0001486455378311335
49,554,S4,ARE, Total,United Arab Emirates,CMR,Cameroon,2019,Export,6,58410.602,0.00022056521477982125
50,556,S4,ARE, Total,United Arab Emirates,COG,"Congo, Rep.",2019,Export,6,24098.38,9.099828076666201e-05
51,558,S4,ARE, Total,United Arab Emirates,COK,Cook Islands,2019,Export,6,73.612,2.7796745855096993e-07
52,560,S4,ARE, Total,United Arab Emirates,COL,Colombia,2019,Export,6,43823.405,0.00016548226529505881
53,562,S4,ARE, Total,United Arab Emirates,COM,Comoros,2019,Export,6,17598.471999999998,6.645387350188018e-05
54,564,S4,ARE, Total,United Arab Emirates,CPV,Cape Verde,2019,Export,6,279.485,1.0553678089593794e-06
55,566,S4,ARE, Total,United Arab Emirates,CRI,Costa Rica,2019,Export,6,6963.811,2.6296158853166448e-05
56,568,S4,ARE, Total,United Arab Emirates,CUB,Cuba,2019,Export,6,61.845,2.335339003706561e-07
57,570,S4,ARE, Total,United Arab Emirates,CUW,Cura�ao,2019,Export,6,734.89,2.775029962703395e-06
58,572,S4,ARE, Total,United Arab Emirates,CYM,Cayman Islands,2019,Export,6,172.838,6.526563549561559e-07
