"Nomenclature","ReporterISO3","ProductCode","ReporterName","PartnerISO3","PartnerName","Year","TradeFlowName","TradeFlowCode","TradeValue in 1000 USD"
"S4","ABW"," Total","Aruba","CHN","China",2019,"Export",6,0.416
"S4","ABW"," Total","Aruba","COL","Colombia",2018,"Export",6,14632.45
"S4","ABW"," Total","Aruba","COL","Colombia",2019,"Export",6,644.325
"S4","ABW"," Total","Aruba","CUW","Cura�ao",2018,"Export",6,527.122
"S4","ABW"," Total","Aruba","CUW","Cura�ao",2019,"Export",6,1538.935
"S4","ABW"," Total","Aruba","ESP","Spain",2019,"Export",6,0.916
"S4","ABW"," Total","Aruba","GBR","United Kingdom",2019,"Export",6,0.411
"S4","ABW"," Total","Aruba","NLD","Netherlands",2018,"Export",6,2812.15
"S4","ABW"," Total","Aruba","NLD","Netherlands",2019,"Export",6,2526.742
"S4","ABW"," Total","Aruba","PAN","Panama",2019,"Export",6,9.16
"S4","ABW"," Total","Aruba","UNS","Unspecified",2018,"Export",6,36429.828
"S4","ABW"," Total","Aruba","UNS","Unspecified",2019,"Export",6,71041.881
"S4","ABW"," Total","Aruba","USA","United States",2018,"Export",6,12519.25
"S4","ABW"," Total","Aruba","USA","United States",2019,"Export",6,3902.317
"S4","ABW"," Total","Aruba","VEN","Venezuela",2018,"Export",6,2841.938
"S4","ABW"," Total","Aruba","VEN","Venezuela",2019,"Export",6,3961.947
"S4","ABW"," Total","Aruba","WLD"," World",2018,"Export",6,69762.737
"S4","ABW"," Total","Aruba","WLD"," World",2019,"Export",6,83627.05
"S4","AFG"," Total","Afghanistan","ARE","United Arab Emirates",2018,"Export",6,14265.354
"S4","AFG"," Total","Afghanistan","AUS","Australia",2018,"Export",6,764.752
"S4","AFG"," Total","Afghanistan","AUT","Austria",2018,"Export",6,104.413
"S4","AFG"," Total","Afghanistan","AZE","Azerbaijan",2018,"Export",6,13.72
"S4","AFG"," Total","Afghanistan","BEL","Belgium",2018,"Export",6,25.717
"S4","AFG"," Total","Afghanistan","BHR","Bahrain",2018,"Export",6,25.862
"S4","AFG"," Total","Afghanistan","BLR","Belarus",2018,"Export",6,34.055
"S4","AFG"," Total","Afghanistan","CAN","Canada",2018,"Export",6,1321.613
"S4","AFG"," Total","Afghanistan","CHE","Switzerland",2018,"Export",6,4.412
"S4","AFG"," Total","Afghanistan","CHN","China",2018,"Export",6,28407.584
"S4","AFG"," Total","Afghanistan","COL","Colombia",2018,"Export",6,0
"S4","AFG"," Total","Afghanistan","CZE","Czech Republic",2018,"Export",6,7.327
"S4","AFG"," Total","Afghanistan","DEU","Germany",2018,"Export",6,5340.072
"S4","AFG"," Total","Afghanistan","DNK","Denmark",2018,"Export",6,5.581
"S4","AFG"," Total","Afghanistan","EGY","Egypt, Arab Rep.",2018,"Export",6,1.065
"S4","AFG"," Total","Afghanistan","ESP","Spain",2018,"Export",6,51.17
"S4","AFG"," Total","Afghanistan","FIN","Finland",2018,"Export",6,1228.017
"S4","AFG"," Total","Afghanistan","FRA","France",2018,"Export",6,534.921
"S4","AFG"," Total","Afghanistan","GBR","United Kingdom",2018,"Export",6,1540.377
"S4","AFG"," Total","Afghanistan","HKG","Hong Kong, China",2018,"Export",6,941.724
"S4","AFG"," Total","Afghanistan","HUN","Hungary",2018,"Export",6,10.144
"S4","AFG"," Total","Afghanistan","IDN","Indonesia",2018,"Export",6,54.029
"S4","AFG"," Total","Afghanistan","IND","India",2018,"Export",6,359437.858
"S4","AFG"," Total","Afghanistan","IRN","Iran, Islamic Rep.",2018,"Export",6,19508.634
"S4","AFG"," Total","Afghanistan","IRQ","Iraq",2018,"Export",6,13190.08
"S4","AFG"," Total","Afghanistan","ITA","Italy",2018,"Export",6,279.918
