countries,,pearson corr,,pearson p,spearman corr,spearman p,,,,,,,
Afghanistan,2,Albania,,0.414517913081958,2.65495371859469E-14,0.539705507630613,7.84730759217356E-25,,,,ABW Aruba ,ABW,Aruba
Afghanistan,,Algeria,,0.821016350041018,5.80597576653295E-77,0.858980289246505,1.51440400582114E-91,,,,AFG Afghanistan ,AFG,Afghanistan
Afghanistan,,Andorra,,0.195993129695154,0.000519307884113,0.078567500645508,0.167626935709291,,,,AGO Angola ,AGO,Angola
Afghanistan,,Angola,,0.333449640250647,1.73939870013177E-09,0.291875889115477,1.67121700932442E-07,,,,AIA Anguilla ,AIA,Anguilla
Afghanistan,,Antigua and Barbuda,,0.398995369764834,2.83220924244277E-13,0.202024825126415,0.000344089090375,,,,ALA Åland Islands ,ALA,Åland Islands
Afghanistan,,Argentina,,0.704382646938121,9.1587150800282E-48,0.755102956802182,2.01521655920713E-58,,,,ALB Albania ,ALB,Albania
Afghanistan,,Armenia,,0.410601261550477,4.88102683803573E-14,0.750212999112591,2.77204218558848E-57,,,,AND Andorra ,AND,Andorra
Afghanistan,,Australia,,0.634485043766456,2.5170727774607E-36,0.3098912263195,2.5195062538248E-08,,,,ANT Netherlands Antilles ,ANT,Netherlands Antilles
Afghanistan,,Austria,,0.657158894129513,1.05730873912132E-39,0.224722596409144,6.55626539580858E-05,,,,ARE United Arab Emirates ,ARE,United Arab Emirates
Afghanistan,,Azerbaijan,,0.838796435588732,2.55237557546009E-83,0.839716086865648,1.14095931690128E-83,,,,ARG Argentina ,ARG,Argentina
Afghanistan,,Bahamas,,0.313556443383339,1.68743851442094E-08,0.072294795520204,0.204298181141173,,,,ARM Armenia ,ARM,Armenia
Afghanistan,,Bahrain,,0.112129261780593,0.048553867176872,0.812539677448711,3.55688179783476E-74,,,,ASM American Samoa ,ASM,American Samoa
Afghanistan,,Bangladesh,,0.442862877563348,2.53688142183149E-16,0.720093768194031,8.19585272545171E-51,,,,ATA Antarctica ,ATA,Antarctica
Afghanistan,,Barbados,,0.354759105020616,1.26493459254391E-10,0.159301360624888,0.004932116325172,,,,ATF French Southern Territories ,ATF,French Southern Territories
Afghanistan,,Belarus,,0.826130398761021,1.02318141664561E-78,0.828615532021213,1.37017862623919E-79,,,,ATG Antigua and Barbuda ,ATG,Antigua and Barbuda
Afghanistan,,Belgium,,0.744239123914098,6.28433407060076E-56,0.251947548992886,7.09811668768451E-06,,,,AUS Australia ,AUS,Australia
Afghanistan,,Belize,,0.199399848402602,0.000412196508665,-0.158988859985435,0.005018438716854,,,,AUT Austria ,AUT,Austria
Afghanistan,,Benin,,0.40600745779315,9.86994043855583E-14,0.49083022086663,3.36400873875913E-20,,,,AZE Azerbaijan ,AZE,Azerbaijan
Afghanistan,,Bhutan,,0.423308186987686,6.57414174007622E-15,0.179611106574299,0.001495954933049,,,,BDI Burundi ,BDI,Burundi
Afghanistan,,Bolivia,,0.506254612263359,1.39569433332226E-21,0.661563664566526,2.15789402312571E-40,,,,BEL Belgium ,BEL,Belgium
Afghanistan,,Bosnia and Herzegovina,,0.628117793622172,1.99156761760811E-35,0.560282605055653,5.10434024535807E-27,,,,BEN Benin ,BEN,Benin
Afghanistan,,Botswana,,0.024937315135007,0.661849533025583,0.075629392085819,0.184139665540956,,,,BFA Burkina Faso ,BFA,Burkina Faso
Afghanistan,,Brazil,,0.817841968480729,6.67785969756499E-76,0.835627068869059,3.93884031571442E-82,,,,BGD Bangladesh ,BGD,Bangladesh
Afghanistan,,Brunei,,0.345690811562991,3.9537501329214E-10,0.320674590981521,7.62652944736652E-09,,,,BGR Bulgaria ,BGR,Bulgaria
Afghanistan,,Bulgaria,,0.408024318935687,7.25492016181072E-14,0.58674519944729,4.59091460040863E-30,,,,BHR Bahrain ,BHR,Bahrain
Afghanistan,,Burkina Faso,,0.367433942978934,2.41802995316781E-11,0.339978767127252,7.95658213903179E-10,,,,BHS Bahamas ,BHS,Bahamas
Afghanistan,,Burundi,,0.15186669680336,0.007392152317067,0.093587986974133,0.100023118892265,,,,BIH Bosnia and Herzegovina ,BIH,Bosnia and Herzegovina
Afghanistan,,Cambodia,,0.340704509823903,7.28582615246652E-10,0.290989343101843,1.82824915131517E-07,,,,BLM Saint Barthélemy ,BLM,Saint Barthélemy
Afghanistan,,Cameroon,,0.592312063419956,9.66134972887936E-31,0.72166845505064,3.9494397947376E-51,,,,BLR Belarus ,BLR,Belarus
Afghanistan,,Canada,,0.61929168071974,3.23952164142634E-34,0.427665771983532,3.24118255607759E-15,,,,BLZ Belize ,BLZ,Belize
Afghanistan,,Cape Verde,,0.226403391021413,5.75853659573948E-05,0.454825058914487,3.11628768698631E-17,,,,BMU Bermuda ,BMU,Bermuda
Afghanistan,,Central African Republic,,0.338603308498562,9.39603103135124E-10,0.408380917774692,6.86914351958024E-14,,,,"BOL Bolivia, Plurinational State of ",BOL,"Bolivia, Plurinational State of"
Afghanistan,,Chad,,0.489681003722338,4.2369869569616E-20,0.376962842323374,6.63896371460562E-12,,,,BRA Brazil ,BRA,Brazil
Afghanistan,,Chile,,0.709743270472263,8.80388457299033E-49,0.80653448756433,2.76192093725769E-72,,,,BRB Barbados ,BRB,Barbados
Afghanistan,,China,,-0.13343974421732,0.018749271160586,-0.150450264385115,0.007969281597344,,,,BRN Brunei Darussalam ,BRN,Brunei Darussalam
Afghanistan,,Colombia,,0.528905919256737,9.62971061068232E-24,0.748954142105752,5.39033145132381E-57,,,,BTN Bhutan ,BTN,Bhutan
