,Friend A,Friend B,Friendliness,Friend 0,Friend 1
0,,,8.448991809671539e-06,ABW,ARE
1,,,7.608272087845706e-05,ABW,ARG
2,,,0.0,ABW,ATG
3,,,4.796421288034262e-06,ABW,AUT
4,,,3.5507481377893836e-06,ABW,AZE
5,,,7.330422732001942e-06,ABW,BEL
6,,,7.526408052732979e-06,ABW,BGR
7,,,0.0,ABW,BLZ
8,,,0.00010633019659460878,ABW,BRA
9,,,0.0013659378181405482,ABW,BRB
10,,,1.3135923220325735e-05,ABW,CAN
11,,,3.499127870104001e-05,ABW,CHE
12,,,2.522067696651857e-05,ABW,CHL
13,,,7.741700702272061e-11,ABW,CHN
14,,,8.950513164752044e-06,ABW,COL
15,,,0.0018866404175001406,ABW,CRI
16,,,7.223170327075955e-05,ABW,CYP
17,,,7.845151012511495e-07,ABW,CZE
18,,,6.854448657396826e-06,ABW,DEU
19,,,7.591091909343207e-06,ABW,DNK
20,,,1.9169453934559008e-05,ABW,ECU
21,,,4.6017996861278645e-10,ABW,ESP
22,,,0.0,ABW,EST
23,,,0.00014431109695051882,ABW,EUN
24,,,0.0003885116437197114,ABW,FIN
25,,,1.6353263574920605e-05,ABW,FRA
26,,,1.6158464268330056e-10,ABW,GBR
27,,,4.115344681392739e-06,ABW,GRC
28,,,7.876580099672824e-05,ABW,GTM
29,,,2.4348720040773767e-06,ABW,GUY
30,,,7.070405248975639e-06,ABW,HKG
31,,,0.00022215812560073527,ABW,HND
32,,,2.424537257321486e-07,ABW,HRV
33,,,4.486716722121833e-06,ABW,HUN
34,,,1.570482487843064e-05,ABW,IDN
35,,,2.8913744768238068e-05,ABW,IND
36,,,2.414588452185641e-06,ABW,IRL
37,,,5.464951306130541e-05,ABW,ITA
38,,,0.0008894046086452153,ABW,JAM
39,,,7.521945609577544e-07,ABW,KEN
40,,,1.9174135564947685e-05,ABW,KOR
41,,,0.0014590881768245748,ABW,LCA
42,,,4.310608526522178e-06,ABW,LTU
43,,,1.4419821559409516e-07,ABW,LUX
44,,,3.6699402490542323e-07,ABW,LVA
45,,,9.498840009725445e-07,ABW,MAR
46,,,2.716406481775785e-05,ABW,MEX
47,,,1.351702932741699e-08,ABW,MLT
48,,,4.922158152495914e-07,ABW,MYS
49,,,4.8371252815681215e-06,ABW,NIC
50,,,9.366045225466885e-06,ABW,NLD
51,,,3.3471056112575444e-06,ABW,NOR
52,,,2.0791031876813737e-05,ABW,NZL
53,,,1.5033786558445508e-06,ABW,OAS
54,,,4.802781565619525e-06,ABW,PAK
55,,,8.49693701151829e-05,ABW,PER
56,,,3.021853224349586e-06,ABW,PHL
57,,,8.030154331395356e-06,ABW,POL
58,,,1.6952623502015266e-05,ABW,PRT
59,,,0.0013372546474423204,ABW,PRY
60,,,7.477481999221259e-09,ABW,ROM
61,,,3.8165512054416847e-08,ABW,RUS
62,,,2.0615209092698355e-06,ABW,SAU
63,,,2.6531794057475467e-07,ABW,SER
64,,,2.479634264225692e-07,ABW,SGP
65,,,5.9471340872858376e-05,ABW,SLV
66,,,0.000546244850220162,ABW,SUR
67,,,1.4394207148387838e-06,ABW,SVK
68,,,6.664343398295919e-06,ABW,SVN
69,,,0.000211642102659942,ABW,SWE
70,,,9.024179113677442e-06,ABW,THA
71,,,8.702198604840912e-06,ABW,TUR
72,,,0.00014106972740374232,ABW,URY
73,,,1.4883784143561804e-05,ABW,USA
74,,,7.275543411907227e-06,ABW,ZAF
75,,,1.84958322288839e-07,ABW,ZMB
76,,,9.022946366089986e-07,ARE,ARG
77,,,2.8489510918956754e-06,ARE,ARM
78,,,6.488357992617206e-10,ARE,ATG
79,,,1.3846698944271507e-05,ARE,AUS
80,,,3.383769599247514e-07,ARE,AUT
81,,,1.8295049120786632e-07,ARE,AZE
82,,,5.336644026174323e-06,ARE,BDI
83,,,5.1639705409958e-06,ARE,BEL
84,,,1.6250646017170747e-06,ARE,BEN
85,,,3.957459645106724e-07,ARE,BFA
86,,,2.5875688619707503e-07,ARE,BGR
87,,,9.95145694069636e-09,ARE,BIH
88,,,6.360621251666186e-08,ARE,BLR
89,,,2.854940168128278e-07,ARE,BLZ
90,,,1.201347974423095e-11,ARE,BMU
91,,,1.874624756056442e-06,ARE,BRA
92,,,1.6857981241420575e-08,ARE,BRB
93,,,2.4888775641682065e-08,ARE,BRN
94,,,2.326408451651338e-06,ARE,BWA
95,,,1.1817392333300984e-06,ARE,CAN
96,,,0.00025702450245658096,ARE,CHE
97,,,3.2171093658227045e-07,ARE,CHL
98,,,0.0001138884237620907,ARE,CHN
99,,,4.6408573912501955e-07,ARE,CIV
100,,,4.829622146530222e-08,ARE,COG
101,,,7.927702001984254e-07,ARE,COL
102,,,3.628596390212636e-06,ARE,COM
103,,,1.0553678089593794e-06,ARE,CPV
104,,,3.842674344528768e-09,ARE,CRI
105,,,1.2248576053638347e-06,ARE,CYP
106,,,2.0802354649406935e-07,ARE,CZE
107,,,9.279915778002042e-06,ARE,DEU
108,,,1.5148192029849857e-07,ARE,DNK
109,,,4.6003095112850873e-08,ARE,ECU
110,,,0.0002630983621352382,ARE,EGY
111,,,4.568420582439534e-06,ARE,ESP
112,,,0.0,ARE,EST
113,,,0.01883589163767127,ARE,EUN
114,,,5.4782951082703763e-08,ARE,FIN
115,,,1.8439286083439885e-08,ARE,FJI
116,,,3.275322195671104e-06,ARE,FRA
117,,,4.501095232198655e-05,ARE,GBR
118,,,6.626679247561764e-07,ARE,GEO
119,,,2.613373948082274e-05,ARE,GHA
120,,,8.088274542846294e-05,ARE,GMB
121,,,1.7158056398106933e-06,ARE,GRC
122,,,3.786010583681557e-07,ARE,GTM
123,,,2.0902820857600347e-07,ARE,GUY
124,,,5.046960257465548e-05,ARE,HKG
125,,,1.3046612796416369e-09,ARE,HND
126,,,2.0965142652008954e-07,ARE,HRV
127,,,7.960554476309454e-08,ARE,HUN
128,,,1.1706517493867024e-05,ARE,IDN
129,,,0.002250984020692228,ARE,IND
130,,,4.7324122784739174e-07,ARE,IRL
131,,,1.957824050234853e-09,ARE,ISL
132,,,3.898204476759572e-06,ARE,ISR
133,,,1.665014393245926e-05,ARE,ITA
134,,,2.067577676046134e-09,ARE,JAM
135,,,9.060294604497597e-05,ARE,JOR
136,,,4.638835908353201e-05,ARE,JPN
137,,,2.2631567918741747e-06,ARE,KAZ
138,,,0.00019639605555364715,ARE,KEN
139,,,1.3174420550620803e-07,ARE,KGZ
140,,,2.490756198668967e-07,ARE,KHM
141,,,1.7296886896216294e-05,ARE,KOR
142,,,3.3017776715100276e-05,ARE,KWT
143,,,4.2339228558060495e-11,ARE,LAO
144,,,1.236224840822309e-10,ARE,LCA
145,,,1.0565519590935004e-07,ARE,LTU
146,,,8.250649733838758e-09,ARE,LUX
147,,,1.7102624705639072e-07,ARE,LVA
148,,,1.5817999309510285e-06,ARE,MAC
149,,,3.1892232703049054e-06,ARE,MAR
150,,,5.27764121167044e-09,ARE,MDA
151,,,4.43412841747823e-06,ARE,MDG
152,,,2.0165309925099047e-07,ARE,MEX
153,,,6.44284245522579e-10,ARE,MKD
154,,,3.7802798406575447e-06,ARE,MLT
155,,,1.0880826362921196e-06,ARE,MMR
156,,,1.4850395238335777e-09,ARE,MNG
157,,,2.725350978450852e-09,ARE,MRT
158,,,3.354014300997497e-07,ARE,MUS
159,,,1.9580235407800013e-06,ARE,MWI
160,,,2.8671045956498908e-05,ARE,MYS
161,,,3.8470732105736364e-07,ARE,NAM
162,,,1.892311653323593e-06,ARE,NGA
163,,,1.5486897426611454e-08,ARE,NIC
164,,,1.3708516545937683e-05,ARE,NLD
165,,,3.082879820080729e-07,ARE,NOR
166,,,3.5008035847668662e-06,ARE,NZL
167,,,6.636813671083758e-06,ARE,OAS
168,,,0.00017243807632650126,ARE,PAK
169,,,2.1986433620179384e-06,ARE,PER
170,,,3.857586672997963e-06,ARE,PHL
171,,,1.5741133171322564e-06,ARE,POL
172,,,1.5121725256083993e-07,ARE,PRT
173,,,4.819683416350382e-08,ARE,PRY
174,,,6.895146813196687e-08,ARE,QAT
175,,,2.4137165994058263e-07,ARE,ROM
176,,,4.843133078968405e-06,ARE,RUS
177,,,1.5112481141038661e-05,ARE,RWA
178,,,0.0005526333074912746,ARE,SAU
179,,,5.170559417809003e-06,ARE,SEN
180,,,5.4503432342250644e-08,ARE,SER
181,,,5.5999057690005907e-05,ARE,SGP
182,,,3.987999845105999e-09,ARE,SLV
183,,,1.0295920404424402e-06,ARE,STP
184,,,1.7817652475133888e-05,ARE,SUR
185,,,8.026554841253287e-08,ARE,SVK
186,,,1.1801982337736816e-07,ARE,SVN
187,,,3.678851452329634e-07,ARE,SWE
188,,,1.3056381562748984e-07,ARE,SWZ
189,,,1.2246655288429646e-06,ARE,SYC
190,,,6.210340450568524e-08,ARE,TGO
191,,,2.9192038886962434e-05,ARE,THA
192,,,2.2102708551530026e-06,ARE,TUN
193,,,0.00018038224471862878,ARE,TUR
194,,,1.8679732557026594e-08,ARE,URY
195,,,9.028959108884037e-05,ARE,USA
196,,,2.693128861876531e-07,ARE,UZB
197,,,1.9257814512091667e-07,ARE,VCT
198,,,1.8710978627380977e-05,ARE,VNM
199,,,6.393303493462546e-10,ARE,WSM
200,,,0.0014469818996765444,ARE,YEM
201,,,2.4421656221743678e-05,ARE,ZAF
202,,,4.55806366582679e-06,ARE,ZMB
203,,,3.93615423084848e-05,ARE,ZWE
204,,,2.4220227724386906e-05,ARG,ARM
205,,,3.750829639848392e-06,ARG,ATG
206,,,6.454369894825699e-06,ARG,AUS
207,,,1.4165550822812937e-07,ARG,AUT
208,,,1.6233404066306206e-10,ARG,AZE
209,,,6.7372081842915035e-06,ARG,BEL
210,,,2.4667503930743745e-05,ARG,BEN
211,,,1.0324398850226596e-09,ARG,BFA
212,,,1.686692882677667e-07,ARG,BGR
213,,,4.2846009567841326e-10,ARG,BIH
214,,,1.6686547229088773e-08,ARG,BLR
215,,,0.0,ARG,BLZ
216,,,0.006929097407756089,ARG,BRA
217,,,6.935490561109268e-10,ARG,BRB
218,,,4.3560439461479766e-10,ARG,BRN
219,,,3.599067581500489e-05,ARG,BWA
220,,,4.653261718537237e-06,ARG,CAN
221,,,5.538859603217324e-05,ARG,CHE
222,,,0.0004058142734681294,ARG,CHL
223,,,0.00028845040352467954,ARG,CHN
224,,,6.76141083891745e-08,ARG,CIV
225,,,0.0003704438324959355,ARG,COG
226,,,8.242742980007602e-05,ARG,COL
227,,,1.464410311966391e-05,ARG,COM
228,,,8.647121910931859e-05,ARG,CPV
229,,,1.9580700548716146e-06,ARG,CRI
230,,,9.595492170444082e-08,ARG,CYP
231,,,1.808004823305857e-07,ARG,CZE
232,,,2.5833174159271428e-05,ARG,DEU
233,,,3.742985297731055e-06,ARG,DNK
234,,,3.699247549917957e-05,ARG,ECU
235,,,5.65188464683953e-05,ARG,EGY
236,,,6.042067382763163e-05,ARG,ESP
237,,,0.0,ARG,EST
238,,,0.0035738483422551085,ARG,EUN
239,,,1.1546433599534699e-07,ARG,FIN
240,,,6.869647245832497e-11,ARG,FJI
241,,,6.835782710364209e-06,ARG,FRA
242,,,1.2126780528804359e-05,ARG,GBR
243,,,5.6835023336905816e-08,ARG,GEO
244,,,6.262600094718114e-08,ARG,GHA
245,,,4.444958573526254e-05,ARG,GMB
246,,,3.11417310018344e-07,ARG,GRC
247,,,5.232752705681294e-07,ARG,GTM
248,,,1.3362615292864755e-09,ARG,GUY
249,,,2.3465733315787815e-06,ARG,HKG
250,,,9.157893523672643e-09,ARG,HND
251,,,8.06118491728853e-08,ARG,HRV
252,,,5.411038381874394e-08,ARG,HUN
253,,,3.0031812572696044e-05,ARG,IDN
254,,,6.49157913068429e-05,ARG,IND
255,,,2.1583139184345927e-06,ARG,IRL
256,,,2.0664905137351253e-09,ARG,ISL
257,,,8.436829933942972e-06,ARG,ISR
258,,,2.895693803845291e-05,ARG,ITA
259,,,3.2024272313895194e-07,ARG,JAM
260,,,2.8634229710241367e-07,ARG,JOR
261,,,6.546534917743142e-06,ARG,JPN
262,,,2.6276267682572642e-08,ARG,KAZ
263,,,1.0750678555166394e-08,ARG,KEN
264,,,3.1584360458279488e-06,ARG,KGZ
265,,,2.2860500959814212e-07,ARG,KHM
266,,,8.151174871805686e-06,ARG,KOR
267,,,3.3853114825917623e-11,ARG,KWT
268,,,3.5626290900944335e-11,ARG,LAO
269,,,5.933074954443765e-06,ARG,LCA
270,,,6.169691702365889e-07,ARG,LTU
271,,,2.3992246577378697e-06,ARG,LUX
272,,,2.7491152559322915e-07,ARG,LVA
273,,,6.13659088181685e-05,ARG,MAR
274,,,3.99370012845535e-05,ARG,MDA
275,,,1.581836489861668e-08,ARG,MDG
276,,,1.717129651811215e-05,ARG,MEX
277,,,3.4397021817947295e-08,ARG,MKD
278,,,6.607063139694254e-08,ARG,MLT
279,,,5.970847931301988e-09,ARG,MMR
280,,,4.194390830605808e-05,ARG,MNG
281,,,0.00015151856217004566,ARG,MRT
282,,,7.846481578327552e-08,ARG,MUS
283,,,1.976898172884161e-05,ARG,MWI
284,,,4.94914483072359e-06,ARG,MYS
285,,,7.537965181305717e-10,ARG,NAM
286,,,1.8403671104116016e-06,ARG,NGA
287,,,2.1288810166340643e-08,ARG,NIC
288,,,4.0030010970211055e-05,ARG,NLD
289,,,1.2334858140789776e-07,ARG,NOR
290,,,6.501875943871966e-07,ARG,NZL
291,,,1.3484998910625701e-06,ARG,OAS
292,,,2.1351532899243207e-06,ARG,PAK
293,,,7.291856280971047e-05,ARG,PER
294,,,5.233013302464711e-06,ARG,PHL
295,,,3.1905853562486468e-06,ARG,POL
296,,,1.0876887461362084e-06,ARG,PRT
297,,,0.003557067859540345,ARG,PRY
298,,,1.9813951229210102e-08,ARG,QAT
299,,,3.038515541857603e-07,ARG,ROM
300,,,7.544475836480478e-06,ARG,RUS
301,,,4.874539695246223e-05,ARG,RWA
302,,,3.7535429834426237e-06,ARG,SAU
303,,,0.0013875306365426624,ARG,SEN
304,,,4.1226435466477235e-08,ARG,SER
305,,,5.312553749468231e-07,ARG,SGP
306,,,1.0766127000278983e-08,ARG,SLV
307,,,3.798543994213693e-09,ARG,SUR
308,,,9.078699143597008e-08,ARG,SVK
309,,,1.8478917105719724e-08,ARG,SVN
310,,,6.955246827430216e-07,ARG,SWE
311,,,0.00011519950077758594,ARG,TGO
312,,,3.8910815069596206e-05,ARG,THA
313,,,1.6765219405227576e-07,ARG,TUN
314,,,7.783710567139907e-06,ARG,TUR
315,,,0.0008414092805960546,ARG,URY
316,,,0.00030432538632734,ARG,USA
317,,,3.604159472509779e-05,ARG,UZB
318,,,1.925588263344324e-06,ARG,VCT
319,,,9.02760855782396e-05,ARG,VNM
320,,,0.0,ARG,YEM
321,,,1.44019574685838e-05,ARG,ZAF
322,,,1.167476370451909e-09,ARG,ZMB
323,,,0.00012916728369482085,ARG,ZWE
324,,,1.0005619327685189e-10,ARM,AUS
325,,,2.5826029610534533e-07,ARM,AUT
326,,,0.0012626844282020134,ARM,AZE
327,,,9.78253669193518e-07,ARM,BEL
328,,,9.487482908998184e-07,ARM,BEN
329,,,0.00010293525362452771,ARM,BGR
330,,,2.3770781735906508e-05,ARM,BIH
331,,,1.1825054593429842e-05,ARM,BLR
332,,,0.00019202606447082257,ARM,BLZ
333,,,0.00010139409840401508,ARM,BRA
334,,,3.2932857105679605e-05,ARM,BRB
335,,,4.851007517947378e-07,ARM,CAN
336,,,2.8980954971186822e-05,ARM,CHE
337,,,1.555109757553182e-14,ARM,CHL
338,,,6.657199935686152e-06,ARM,CHN
339,,,3.740767489691349e-09,ARM,CIV
